post_title,sku,images,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:product-brand
"Bếp từ 3 vùng nấu EuroGold EUH2131",EUH2131,,simple,,"Thiết bị bếp > Bếp > Bếp từ|Giá sốc hôm nay","bếp|bếp EuroGold|bếp từ|Thiết bị bếp",,EUROGOLD
"Bếp từ 2 vùng nấu EuroGold EUH2121",EUH2121,,simple,,"Thiết bị bếp > Bếp > Bếp từ|Giá sốc hôm nay","bếp|bếp EuroGold|bếp từ|Thiết bị bếp",,EUROGOLD
"Bếp từ 2 vùng nấu EuroGold EUH2120",EUH2120,,simple,,"Thiết bị bếp > Bếp > Bếp từ|Giá sốc hôm nay","bếp|bếp EuroGold|bếp từ|Thiết bị bếp",,EUROGOLD
"Bếp kếp hợp 1 vùng nấu từ và 1 vùng nấu điện EuroGold EUH2110",EUH2110,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bep-tu-diin-euh2110-eurogold-Eurogold20EUH2110.jpg ! alt :  ! title : bep-tu-diin-euh2110-eurogold-Eurogold20EUH2110.jpg ! desc :  ! caption : ",simple,,"Thiết bị bếp > Bếp > Bếp kết hợp|Giá sốc hôm nay","bếp|bếp EuroGold|bếp kết hợp|Thiết bị bếp",,EUROGOLD
"Bếp từ 2 vùng nấu EuroGold EUH2288",EUH2288,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bep-dien-tu-eurogold-euh2288-800x800-1.png ! alt :  ! title : bep-dien-tu-eurogold-euh2288-800x800-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/kt-bep-dien-tu-eurogold-euh2288-800x800-1.jpg ! alt :  ! title : kt-bep-dien-tu-eurogold-euh2288-800x800-1.jpg ! desc :  ! caption : ",simple,,"Thiết bị bếp > Bếp > Bếp từ|Giá sốc hôm nay","bếp|bếp EuroGold|bếp từ|Thiết bị bếp",,EUROGOLD
"Bếp kếp hợp 1 vùng nấu từ và 1 vùng nấu điện EuroGold EUH2266",EUH2266,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bep-dien-tu-eurogold-euh2266-800x800-1.png ! alt :  ! title : bep-dien-tu-eurogold-euh2266-800x800-1.png ! desc :  ! caption : ",simple,,"Thiết bị bếp > Bếp > Bếp kết hợp|Giá sốc hôm nay","bếp|bếp EuroGold|bếp kết hợp|Thiết bị bếp",,EUROGOLD
"Bếp từ 4 vùng nấu kết hợp hút mùi Malloca HIH-904 SLIM","HIH-904 SLIM","https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bep-malloca-HIH-90420SLIM-740x740-1.png ! alt :  ! title : bep-malloca-HIH-90420SLIM-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bep-malloca-HIH-90420SLIM-740x740-1.jpg ! alt :  ! title : ban-ve-bep-malloca-HIH-90420SLIM-740x740-1.jpg ! desc :  ! caption : ",simple,,"Thiết bị bếp > Bếp > Bếp kết hợp|Giá sốc hôm nay","bếp|bếp kết hợp|bếp Malloca|Thiết bị bếp",,
"Bếp từ 4 vùng nấu kết hợp hút mùi Malloca HIH-864 LI","HIH-864 LI","https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bep-malloca-HIH-864-LI-740x740-1.png ! alt :  ! title : bep-malloca-HIH-864-LI-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bep-malloca-HIH-864-LI-740x740-1.jpg ! alt :  ! title : ban-ve-bep-malloca-HIH-864-LI-740x740-1.jpg ! desc :  ! caption : ",simple,,"Thiết bị bếp > Bếp > Bếp kết hợp|Giá sốc hôm nay","bếp|bếp kết hợp|bếp Malloca|Thiết bị bếp",,
"Bếp từ 4 vùng nấu kết hợp hút mùi Malloca HIH-864",HIH-864,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bep-malloca-HIH-864-740x740-1.png ! alt :  ! title : bep-malloca-HIH-864-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bep-malloca-HIH-864-740x740-1.jpg ! alt :  ! title : ban-ve-bep-malloca-HIH-864-740x740-1.jpg ! desc :  ! caption : ",simple,,"Thiết bị bếp > Bếp > Bếp kết hợp|Giá sốc hôm nay","bếp|bếp kết hợp|bếp Malloca|Thiết bị bếp",,
"Bếp từ 4 vùng nấu Malloca MI-784 ITG","MI-784 ITG","https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bep-tu-malloca-MI-78420ITG-740x740-1.png ! alt :  ! title : bep-tu-malloca-MI-78420ITG-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bep-dien-tu-malloca-MI-78420ITG-740x740-1.png ! alt :  ! title : bep-dien-tu-malloca-MI-78420ITG-740x740-1.png ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bep-tu-malloca-MI-78420ITG-740x740-1.jpg ! alt :  ! title : ban-ve-bep-tu-malloca-MI-78420ITG-740x740-1.jpg ! desc :  ! caption : ",simple,,"Thiết bị bếp > Bếp > Bếp từ|Giá sốc hôm nay","bếp|bếp Malloca|bếp từ|Thiết bị bếp",,
